B06012_001E,B06012_002E,state,county
83244.0,12077.0,42,039
266721.0,44452.0,42,049
14544.0,1624.0,42,057
24469.0,2926.0,42,067
138212.0,18029.0,42,107
27278.0,2817.0,42,131
97366.0,9117.0,42,001
816169.0,103562.0,53,053
85438.0,14019.0,53,021
54448.0,8971.0,53,071
204170.0,32649.0,53,073
11630.0,1525.0,54,023
22822.0,3864.0,54,027
22400.0,2851.0,54,009
7712.0,1186.0,54,017
13832.0,1897.0,54,031
55330.0,9222.0,54,049
25363.0,6594.0,54,059
29649.0,4286.0,54,029
31571.0,4600.0,54,051
25473.0,4486.0,54,067
6735.0,899.0,54,093
8885.0,1663.0,54,095
14166.0,2870.0,54,087
16400.0,2729.0,54,091
84990.0,14747.0,54,107
6663.0,1741.0,54,021
26348.0,4970.0,54,053
13332.0,2283.0,54,063
7010.0,1187.0,54,073
92696.0,20249.0,54,011
53988.0,5884.0,54,037
34532.0,6986.0,54,045
7177.0,1307.0,54,071
67686.0,10743.0,54,033
40831.0,6626.0,54,069
7402.0,1176.0,54,013
17273.0,1962.0,54,065
74540.0,13173.0,54,081
56340.0,5546.0,54,079
16314.0,3657.0,54,001
18799.0,7076.0,54,047
40931.0,8566.0,54,099
28927.0,4315.0,54,035
23444.0,8109.0,28,133
29301.0,8905.0,28,001
169460.0,16948.0,28,033
541348.0,58737.0,42,045
71265.0,8993.0,42,111
12068.0,1978.0,29,123
20071.0,3499.0,29,217
19819.0,5046.0,29,147
7360.0,1130.0,29,041
13068.0,3003.0,29,223
38189.0,7467.0,29,201
11909.0,2722.0,29,011
13637.0,3171.0,29,039
14531.0,2074.0,29,073
15119.0,2845.0,29,121
10661.0,2809.0,29,149
17695.0,2561.0,29,186
13188.0,2704.0,29,067
21353.0,4575.0,29,083
37518.0,6803.0,29,109
43675.0,6372.0,29,169
24068.0,6301.0,29,215
40724.0,5354.0,29,027
16029.0,2137.0,29,053
6542.0,1039.0,29,075
12318.0,3752.0,29,133
9353.0,2546.0,29,153
12180.0,2881.0,29,017
3911.0,786.0,29,103
11395.0,1999.0,29,139
29083.0,4848.0,29,207
23709.0,4193.0,29,007
273653.0,51145.0,29,077
9162.0,2052.0,29,185
4307.0,951.0,29,197
43613.0,7943.0,29,029
220011.0,24089.0,29,099
17784.0,4370.0,29,143
10082.0,1268.0,29,173
11494.0,1289.0,30,017
1608.0,124.0,30,075
10979.0,2953.0,30,085
2262.0,349.0,30,051
11380.0,981.0,30,083
4430.0,747.0,30,101
1756.0,84.0,30,019
38794.0,12290.0,28,113
1981.0,249.0,30,045
8580.0,1785.0,30,023
1611.0,175.0,30,055
9207.0,1813.0,30,087
8933.0,1365.0,30,021
5646.0,471.0,30,007
4738.0,602.0,42,023
617879.0,36635.0,42,017
349404.0,45552.0,42,077
37402.0,6941.0,42,031
33627.0,5141.0,42,059
307021.0,48174.0,42,079
38803.0,5266.0,16,069
22371.0,3786.0,16,053
145863.0,18412.0,16,055
3756.0,598.0,16,061
20118.0,3584.0,16,067
79635.0,12417.0,16,083
3172544.0,444024.0,06,073
449819.0,127130.0,06,107
201542.0,38898.0,06,113
131865.0,27641.0,06,023
97760.0,11835.0,06,057
1170.0,221.0,06,003
145251.0,32043.0,06,039
86001.0,17366.0,06,045
259991.0,39211.0,06,087
